Post Date and Time,Text,Favorite_count,Retweet_count,Images_count
Sun Feb 17 09:02:28 +0000 2019,"Looking forward to your participation in Multimedia Grand Challenges of @ACMMM19 

Several interesting challenges are available at https://t.co/mGYxuvrve5

@midasIIITD lab is looking forward to helping students from Indian institutes who plan to participate. 

#ACMMM #Multimedia",3,1,None
Sun Feb 17 08:49:36 +0000 2019,"Consider attending National Workshop on Intelligent Multimodal Interfaces (NWIMI) at Indian Institute of Technology Jodhpur @IITJodhpur from March 9-10, 2019. 

Check more details at https://t.co/lLLzl0dUaI",1,0,None
Sun Feb 17 06:39:30 +0000 2019,"Submissions are invited for a special issue of Cognitive Computation (Impact Factor: 3.479) on Affect Recognition in Multimodal Language.

CFP - https://t.co/vP2Naq1C85

Submission deadline - 05/05/2019

Contact @soujanyaporia for further details.",1,1,None
Sat Feb 16 16:57:51 +0000 2019,RT @debanjanbhucs: https://t.co/qNFzJ7ZHki,0,1,None
Fri Feb 15 08:22:23 +0000 2019,"RT @MSFTResearch: Congratulations to Manik Varma, @iitdelhi's Himanshu Jain, Venkatesh Balasubramanian and Bhanu Chunduri for winning the B…",0,13,None
Thu Feb 14 15:56:14 +0000 2019,"Congratulations! Anupam Samanta on joining @Google as a software engineer. 

Anupam worked with @midasIIITD head, Dr @RatnRajiv and published two research papers. Great to hear that Anupam got ML and Data Science team in Google due to his research experience and publications. https://t.co/IcuBbjEkjc",14,4,1
Wed Feb 13 18:56:13 +0000 2019,RT @kdnuggets: Using BERT for state-of-the-art pre-training for natural language processing https://t.co/wAyERwPw3r https://t.co/ghPTpClh3p,0,5,1
Wed Feb 13 15:54:52 +0000 2019,RT @ACMMM19: Attention authors of ACM MultiMedia 2018 and 2017 main conference papers. Submit a reproducibility paper to ACMMM 2019 https:/…,0,11,None
Wed Feb 13 05:56:05 +0000 2019,"RT @kdnuggets: 9 Must-have skills you need to become a Data Scientist, updated https://t.co/OeeComtoWu https://t.co/DGq5qrQefc",0,11,1
Thu Feb 07 19:21:52 +0000 2019,"@ACMMM19 @ACM Just one week is left for workshop proposal. Kindly consider submitting it. 
@midasIIITD @abhinavdhall @IIITDelhi @iiit_hyderabad @iitdelhi @IITKanpur @iiscbangalore @IITKgp @debanjanbhucs @the_dhumketu @RatnRajiv @fire_forum @iitmadras @soujanyaporia @NTUsg @iitbombay #ACMMM19",1,1,None
Thu Feb 07 15:49:59 +0000 2019,"@NilayShri @the_dhumketu Thanks, @NilayShri for sharing. 
Indeed a very good work.",0,0,None
Thu Feb 07 15:49:08 +0000 2019,RT @NilayShri: @midasIIITD @the_dhumketu this seems to be the 'trend' https://t.co/m6YfyTtwfX,0,1,None
Thu Feb 07 06:23:10 +0000 2019,"RT @kdnuggets: Machine Learning in Python by @PyImageSearch
""Struggling to get started with machine learning using Python? In this step-by-…",0,53,None
Wed Feb 06 11:26:25 +0000 2019,RT @Cambridge_Uni: .@DeepMindAI and @Cambridge_Trust  are offering scholarships to under-represented students to study computer science. Op…,0,35,None
Tue Feb 05 18:32:54 +0000 2019,"RT @GoogleAI: Google AI  and @DeepMindAI researchers have open-sourced the Hanabi Learning Environment, a testbed for collaborative multi-a…",0,212,None
Tue Feb 05 17:45:09 +0000 2019,Edit: In the updated leaderboard we are now ranked 10th in the suggestion mining task! Thanks for updates @isarth23,0,0,None
Tue Feb 05 17:44:27 +0000 2019,"Congratulations! @isarth23. 
It is our pleasure to work with you. 
You are a gem of @midasIIITD. https://t.co/mOJQyhd26K",4,0,None
Tue Feb 05 12:09:44 +0000 2019,"In addition to OffensEval task, @midasIIITD has also performed well in the suggestion mining task (https://t.co/UiloRZiYSr) of SemEval 19. 

We secured 11th rank in this task. 

Congrats! @debanjanbhucs Raymond, Karan Uppal, @isarth23 @the_dhumketu @RatnRajiv for your hard work.",5,1,None
Tue Feb 05 11:55:41 +0000 2019,"Thanks, Karan Uppal and @RatnRajiv for all your support.",1,1,None
Tue Feb 05 11:06:31 +0000 2019,"@midasIIITD performance in OffensEval 2019 (SemEval 2019 - Task 6).

In subtask-A, we came 5th out of 103 teams
In subtask-B, we came 8th out of 75 teams
We are very close to best results. 

Congratulations! @debanjanbhucs, Raymond, @isarth23, @the_dhumketu, @LaibaMehnaz, @Simcyy https://t.co/NveQlv8wO8",4,3,1
Mon Feb 04 12:16:16 +0000 2019,RT @ProfAnirban: One of the biggest obstacles to the adoption of #NLP and cognitive #AI is the lack of pretrained models in languages other…,0,39,None
Mon Feb 04 10:58:53 +0000 2019,"RT @IIITDelhi: Students of @midasIIITD lab won the best student poster award at 33rd @RealAAAI 2019 conference in Honolulu, Hawaii for the…",0,4,None
Sat Feb 02 05:05:16 +0000 2019,"@RealAAAI 2019 summary for @midasIIITD.
1 paper in main conference, 1 paper in EAAI, 2 papers published in student abstract and poster sessions. 
We won the best student poster award. 
6 researchers from MIDAS lab attended the conference.
Got several interests for collaborations. https://t.co/JVo6pRMWL1",7,3,4
Fri Feb 01 07:46:57 +0000 2019,"@the_dhumketu @RealAAAI Congrats! Raghav, Kshitij, and @the_dhumketu for the best student poster award!
Congrats @RatnRajiv @ponguru and Prof Roger Zimmermann for their guidance. 

Have a great time in Honolulu, Hawaii, USA.",3,1,None
Fri Feb 01 07:30:53 +0000 2019,"Our paper titled, ""Mind Your Language: Abuse and Offence Detection for Code-Switched Languages"", won the best student poster award at 33rd @RealAAAI 2019 conference in Honolulu, Hawaii, USA. 

Congratulations authors! Raghav, Kshitij, @the_dhumketu, @ponguru, and Roger. 

#AAAI19 https://t.co/e5lFJhb6bi",24,3,1
Fri Feb 01 03:15:27 +0000 2019,"RT @PeterMartigny: Very interesting talk by @ChenguangZhu2 at the @stanfordnlp seminar on SDNet, a new architecture for conversational ques…",0,8,None
Fri Feb 01 03:13:23 +0000 2019,"RT @NilayShri: @midasIIITD @RatnRajiv
@the_dhumketu 
https://t.co/PkUa18lF8p",0,2,None
Thu Jan 31 06:57:04 +0000 2019,"CFP for @ACMMM19 has been posted on WikiCFP. Kindly share with your colleagues and submit your work to #ACMMM 2019.

https://t.co/Kgti6H4W8g

Please share, @IIITDelhi @iiit_hyderabad @precog_iiitd @iitdelhi @iitbombay @IITKgp @IITKanpur @_iitg @iiscbangalore @iitropar @lcs2iiitd",1,1,None
Thu Jan 31 05:50:19 +0000 2019,"@midasIIITD Lab is pleased to share our novel work titled, Harnessing GANs for Addition of New Classes in VSR (https://t.co/SdFNLNP2PR). 

We present a novel approach to low-shot learning that uses the idea of imagination over unseen classes in a classification problem setting.",4,2,None
Thu Jan 31 05:32:43 +0000 2019,"RT @RatnRajiv: If you are attending @RealAAAI and liked our work, Lipper, for speech reconstruction from silent videos using lipreading the…",0,2,None
Wed Jan 30 19:46:11 +0000 2019,"RT @RatnRajiv: Great to be part of this year's accepted papers at @RealAAAI from India. Out of 25 papers from India, 6 from @IIITDelhi. 
Co…",0,2,None
Wed Jan 30 17:18:40 +0000 2019,RT @MIT: Want to squelch fake news? Let the readers take charge https://t.co/Jusr6TMUse https://t.co/KDHmFDP9aE,0,11,1
Wed Jan 30 05:00:29 +0000 2019,"If you are attending @RealAAAI 2019 at Honolulu, Hawaii, USA then attend our talk in the Student Abstract Session for very interesting work on speech reconstruction from silent videos based on lipreading. 

It is one of the first works of this kind. 
Looking forward to seeing you https://t.co/rODmBKSONr",3,1,1
Tue Jan 29 19:42:10 +0000 2019,"If you are attending @RealAAAI 2019 then visit following sessions for our papers.

3. Lipper: Synthesizing Thy Speech using Multi-View Lipreading
- Time: Thursday, Main Paper Session
- Authors: @the_dhumketu, Rohit, Salik, @RatnRajiv, Yifang, and Roger

3/3",5,2,None
Tue Jan 29 19:39:29 +0000 2019,"If you are attending @RealAAAI 2019 then visit following sessions for our papers.

2. Lipper: Speaker Independent Speech Synthesis using Multi-View Lipreading
- Time: Wednesday, Student Abstract Session  
- Authors: Salik, @the_dhumketu, Rohit, Swati, @RatnRajiv, and Roger

2/3",3,1,None
Tue Jan 29 19:31:35 +0000 2019,"If you are attending @RealAAAI 2019 then visit following sessions for our papers.

1. Mind Your Language: Abuse and Offense Detection on Code-Switched Languages
- Time: Tuesday, Student Abstract Session (SAS)
- Authors: Raghav, @the_dhumketu, Kshitij, @RatnRajiv, PK, Roger  

1/3",2,1,None
Tue Jan 29 18:05:01 +0000 2019,"@TechAtBloomberg @debanjanbhucs It is a great experience to work with @debanjanbhucs.
@midasIIITD looks forward to many more such works with Bloomberg.",5,2,None
Tue Jan 29 18:03:31 +0000 2019,RT @TechAtBloomberg: Learn more about the collaborative efforts of researchers @debanjanbhucs &amp; Daniel Preoţiuc-Pietro w/ academics around…,0,5,None
Tue Jan 29 17:52:23 +0000 2019,RT @debanjanbhucs: We as researchers working at Bloomberg also get opportunities to collaborate with academia. Here are the outcomes of two…,0,2,None
Tue Jan 29 14:52:24 +0000 2019,"RT @kdnuggets: 7 Steps to Mastering Basic Machine Learning with Python — 2019 Edition
 https://t.co/yZExGjOVWH https://t.co/sJC8p2kTyp",0,32,1
Tue Jan 29 05:17:27 +0000 2019,"@TechAtBloomberg @debanjanbhucs @IIITDelhi @RatnRajiv Congrats, team @midasIIITD! https://t.co/ncsgSUusUb",3,1,2
Tue Jan 29 04:40:47 +0000 2019,"RT @TechAtBloomberg: #Textanalytics researcher @debanjanbhucs joins @IIITDelhi's @RatnRajiv &amp; other co-authors to present ""Get IT Scored us…",0,5,None
Mon Jan 28 12:11:29 +0000 2019,RT @kdnuggets: Top 16 #OpenSource #DeepLearning Libraries and Platforms #KDN https://t.co/TycxmMSCWs,0,8,None
Mon Jan 28 12:11:13 +0000 2019,"RT @Princeton: Using data from more than 6,000 patients, @EPrinceton researchers applied #machinelearning methods to design a system that c…",0,20,None
Mon Jan 28 12:10:37 +0000 2019,RT @CornellBirds: In 1929 Cornell Lab founder Arthur Allen made the very first recordings of wild birds. Follow @MacaulayLibrary as they sh…,0,67,None
Fri Jan 25 08:56:54 +0000 2019,"RT @seb_ruder: Natural Questions: A new QA dataset consisting of 300,000+ naturally occurring questions (posed to Google search) with human…",0,141,None
Thu Jan 24 15:43:25 +0000 2019,RT @kdnuggets: 10 More #Free Must-Read #Books for #MachineLearning and #DataScience #KDN https://t.co/EtMyAJFl6d,0,24,None
Thu Jan 24 15:42:59 +0000 2019,RT @kdnuggets: How to build an API for a machine learning model in 5 minutes using Flask https://t.co/VFN7NmCqTu https://t.co/oZ8rXEGM5w,0,25,1
Wed Jan 23 10:24:14 +0000 2019,@ACMMM19 @ACM @abhinavdhall consider submitting your proposal.,0,0,None
Wed Jan 23 10:23:34 +0000 2019,RT @ACMMM19: Jump start your @ACM #Multimedia workshop submission... First workshop titles are now online https://t.co/S9ZSaJTH1a But also…,0,10,None
Tue Jan 22 14:04:40 +0000 2019,"@NUSComputing Congratulations! Yaman @the_dhumketu , Roger, Yifang, @RatnRajiv, Rohit, and Salik.",1,1,None
Tue Jan 22 14:02:51 +0000 2019,"⚡️ “Achievements”

https://t.co/LvZt1GTY4C",3,1,None
Tue Jan 22 13:58:08 +0000 2019,RT @NUSComputing: A/P Roger Zimmermann and his collaborators from IIIT Delhi developed a lipreading system that produces audio from lip mov…,0,2,None
Mon Jan 21 16:29:31 +0000 2019,"Welcome one member to our @midasIIITD family, SkyWalker. 
It will strengthen our team with Falcon. 

#midas #server #falcon #skywalker https://t.co/u6YOBaJ7DB",9,1,3
Mon Jan 21 15:19:33 +0000 2019,Dr @RatnRajiv Shah delivered a research talk in the National Symposium on Natural Languages Processing and Artificial Intelligence at the Manipal University Jaipur. He discussed different multimedia systems for society and healthcare which @midasIIITD lab is currently working on. https://t.co/cVAGyk9xAs,6,2,4
Mon Jan 21 09:33:03 +0000 2019,"RT @Scott__Hubbard: Don't miss this new article from @ted_dunning, who presents practical methods for near real-time monitoring of machine…",0,9,None
Mon Jan 21 09:32:03 +0000 2019,RT @kaggle: Stuck inside with stir-crazy kids? 😫🤒😵Check out these downloadable machine learning projects designed for kids aged 8-16 👉https…,0,37,None
Mon Jan 21 06:54:14 +0000 2019,"@Princeton @nyuniversity @nytimes Team @midasIIITD, do we have the same trend in India?",0,0,None
Sun Jan 20 05:49:19 +0000 2019,RT @Harvard: Researchers find connections between worry and the development of heart disease https://t.co/yQ4miy8DHI,0,77,None
Sat Jan 19 18:15:35 +0000 2019,"RT @Stanford: Researchers across Stanford are exploring ways to predict and prevent preterm births, and to improve care for the highest-ris…",0,8,None
Sat Jan 19 09:59:16 +0000 2019,"Meet our members of @midasIIITD .

https://t.co/2PFbtoDtDR

We welcome new members to our group. 

MIDAS is a group of researchers at IIIT-Delhi who study, analyze, and build different multimedia systems for society leveraging multimodal information. 

#multimedia #research #lab",7,2,None
Sat Jan 19 03:27:33 +0000 2019,RT @kdnuggets: How to Monitor Machine Learning Models in Real-Time https://t.co/9UpYVzlQWI https://t.co/9lK9eoOVWe,0,9,1
Fri Jan 18 10:25:41 +0000 2019,"Congratulations! @Leomi7 @ashualloy @RatnRajiv Ayush, Himanshu, Aditya, Deepanshu, @isarth23 @rgrgrajat1",6,0,None
Fri Jan 18 10:17:02 +0000 2019,RT @jasonbaumgartne: #Pushshift is happy to announce a new dataset for your ML / NLP / Research pleasure -- Data for over 340+ Stackexchang…,0,20,None
Fri Jan 18 10:16:26 +0000 2019,"Proceedings of FIRE 2018 is online now at https://t.co/vzLpwVp1Qb
Our 4 papers are:
1. Fully Automatic Approach to Identify Factual or Fact-checkable Tweets
2. Multilingual Author Profiling from SMS
3. NMT based Tamil Translation 
4. Named Entity Recognition for Indian Languages",10,2,None
Thu Jan 17 04:04:16 +0000 2019,RT @hseas: Only 20 percent of pediatric cancer patients in lower- and middle-income countries will survive. Engineering students partnered…,0,26,None
Thu Jan 17 04:03:55 +0000 2019,RT @Cornell: Can virtual reality transform medicine? Psychologist JoAnn Difede @WeillCornell began using #VR with soldiers and survivors fr…,0,11,None
Sun Jan 13 16:45:48 +0000 2019,RT @kdnuggets: Explainable Artificial Intelligence https://t.co/rllNxnm73U https://t.co/mAYFPMJF8P,0,20,2
Sun Jan 13 16:40:46 +0000 2019,@abhinavdhall @RatnRajiv Emailed you.,0,0,None
Sun Jan 13 16:03:25 +0000 2019,"RT @kdnuggets: A comprehensive list of #MachineLearning Resources: Open Courses, Textbooks, #Tutorials, Cheat Sheets and more #KDN https://…",0,41,None
Sun Jan 13 07:19:19 +0000 2019,"Call for Book Chapter- Springer- Deep learning based approaches for sentiment analysis. Contact for more details.

Important Dates:

Abstract: Jan 15, 2019
Notification: Jan 31
Full chapter:  April 15
First review: May 15
Final notification: June 30
Camera Ready: July 15",6,1,None
Sat Jan 12 14:37:07 +0000 2019,RT @Stanford: The average woman is exposed to four medications during her pregnancy and over 80 percent of medications haven’t been studied…,0,48,None
Thu Jan 10 08:51:20 +0000 2019,@harvardmed @Harvard Another interesting direction to our previous work @MADAIguy @Leomi7,1,0,None
Thu Jan 10 08:50:35 +0000 2019,RT @harvardmed: A first-of-its-kind strategy aims to improve outcomes for kidney cancer patients who are at high risk of recurrence followi…,0,27,None
Thu Jan 10 08:48:17 +0000 2019,"RT @RatnRajiv: Fortunate to have appreciation from my former NUS professor, Dr. Terence Sim.
He also appreciated our @RealAAAI
2019 paper o…",0,3,None
Wed Jan 09 02:05:06 +0000 2019,RT @Harvard: The study provides potential future targets for drug development to treat osteoporosis https://t.co/YhfrOovdbO,0,9,None
Mon Jan 07 09:05:12 +0000 2019,"RT @UniofOxford: In the final episode of series one of our Futuremakers podcast series, hear from Professor Sir @Nigel_Shadbolt on where th…",0,16,None
Sun Jan 06 12:54:06 +0000 2019,"@ACMMM19: Call for Workshop Proposals 

Deadline: Friday 15 February 2019

https://t.co/vpdx97ucNP

#ACMMM19 #Multimedia #Research #Nice #France",1,0,None
Sun Jan 06 04:29:25 +0000 2019,"@ACMMM19: Call for Grand Challenge Proposals

Deadline: Tuesday 8 January 2019

Check more details at-  https://t.co/uT3bFAsjfU

#ACMMM #Multimedia #Research #Nice",1,0,None
Sun Jan 06 04:09:54 +0000 2019,"Since 1993, ACM Multimedia has been bringing together researchers and practitioners from academia and industry to present innovative research results and discuss recent advancements. 

Check @ACMMM19 website for more details: 
https://t.co/QroXuO8ZAV

#ACMMM #Multimedia #Research",5,1,None
Sun Jan 06 04:07:29 +0000 2019,"@ACMMM19 is structured around four themes (alphabetical):

Engaging users with multimedia
Multimedia experience
Multimedia systems
Understanding multimedia content

Multimedia research focuses on integration of the multiple perspectives offered by different digital modalities.",1,0,None
Sun Jan 06 04:05:38 +0000 2019,"ACM Multimedia 2019: First Call for Papers/Call for Contributions
@ACMMM19 is the premier international conference in the area of multimedia within the field of computer science.  
Details on the conference themes are available on the conference website: 
https://t.co/QroXuO8ZAV",4,2,None
Thu Jan 03 06:14:05 +0000 2019,RT @ACMMM19: Happy new year! 2019 started with a bang. Thanks to everyone working to help resolve the ACM webserver hack issues. Please wat…,0,2,None
Tue Jan 01 17:21:49 +0000 2019,"You may follow @midasIIITD updates through following:

Website: https://t.co/sPvbKhflKQ
Facebook: https://t.co/yMDAL2pof0
LinkedIn: https://t.co/ZPNNnLTi8Z

We look forward to producing some groundbreaking work in 2019 which can help society through ML and Multimedia Processing.",4,2,None
Tue Jan 01 17:17:56 +0000 2019,"Today, @midasIIITD completed one year at @IIITDelhi. In last one year, we have shown our strong presence in research communities of top-tier conferences and journals through our world-class research. This could not have been possible without the hard work of MIDAS researchers. https://t.co/zCdQr8Zfwe",14,5,1
Tue Jan 01 16:14:24 +0000 2019,RT @debanjanbhucs: Happy anniversary to @midasIIITD . It surely has been a productive year for us and hope to see some ground breaking work…,0,4,None
Thu Dec 27 10:28:31 +0000 2018,"Two Research Assistant (RA) positions are still open. Contact us if you are eligible and interested to work on the mentioned projects. 

PS: RAs are full-time jobs. Only apply if you have finished your studies.",2,1,None
Thu Dec 27 09:59:06 +0000 2018,"Positions for two Research Assistants (RA) are still open at @midasIIITD. Interested candidates may send their CV at midas AT https://t.co/ey7h1zgmKD
PS: RAs are full-time positions. Thus, only candidates who have finished their study are requested to apply. 
#MIDAS #Humonics #RA",5,3,None
Thu Dec 27 02:33:58 +0000 2018,"RT @TCoolsIT: I wrote a blogpost on CoreNLP highlighting some of its functionality. If you want a quick dip before diving into the course,…",0,12,None
Wed Dec 26 09:41:04 +0000 2018,"@RatnRajiv delivered a research talk at the Central Research Laboratories of NEC Corporation, Japan. He discussed several multimedia systems for society and healthcare. He had interesting pre and post-talk discussions on multimedia systems for cybersecurity that can help society. https://t.co/itWHzv0ias",14,2,1
Tue Dec 25 04:15:15 +0000 2018,@midasIIITD look forward to work together. https://t.co/nrpf32ODo2,1,0,None
Tue Dec 25 03:00:21 +0000 2018,"@the_dhumketu @punnibhai @Hitkul_, FYI. https://t.co/yZb9mdr6IB",2,1,None
Mon Dec 24 07:39:21 +0000 2018,RT @iiit_hyderabad: KCIS Distinguished Lecture by Andrew Zisserman on Learning from Sight and Sound. Three-time Marr Prize winner Zisserman…,0,11,None
Fri Dec 21 03:50:39 +0000 2018,"RT @StanfordAILab: Our latest blog post is out! 

Check it out for a recording and summary of highlights from the event ""AI and the Future…",0,32,None
Thu Dec 20 18:05:35 +0000 2018,"RT @medialab: In two new papers, @PratikShahPhD and collaborators present novel #AI and machine learning methods to improve diagnosis at th…",0,8,None
Thu Dec 20 06:14:52 +0000 2018,RT @RatnRajiv: Wonderful get together with our NII colleagues. Prior to that we had a wonderful talk with Prof Chua Tat-Seng from National…,0,3,None
Wed Dec 19 02:16:31 +0000 2018,"@ACMMM19 is the premier international conference in the area of multimedia within the field of computer science. Multimedia research focuses on integration of the multiple perspectives offered by different digital modalities including images, text, video, music, and sensor data. https://t.co/8RPzQHnB34",2,3,1
Tue Dec 18 14:42:27 +0000 2018,"Feel free to contact us if you have any query on @ACMMM19. We look forward to your submissions to ACM Multimedia conference 2019. 

Check more details on submission at https://t.co/xA2jk0KPPC

#Multimedia #Research #ACMMM2019 #Nice",3,2,None
Tue Dec 18 14:27:12 +0000 2018,@NilayShri @RatnRajiv @ACMMM19 Looking forward to your paper to @ACMMM19.,3,0,None
Tue Dec 18 14:15:32 +0000 2018,"@midasIIITD head, Dr. @RatnRajiv appointed as one of the publicity co-chairs for @ACMMM19. ACM Multimedia is the premier conference for Multimedia research. We look forward to supporting a large number of submissions to https://t.co/QroXuO8ZAV this year from India. 

#Multimedia",12,5,None
Tue Dec 18 12:34:10 +0000 2018,@ACMMM19 @the_dhumketu fill the volunteer form for reviewer.,1,0,None
Tue Dec 18 12:33:42 +0000 2018,RT @ACMMM19: New in 2019! Volunteer to serve as ACM Multimedia Area Chair or Reviewer. Please provide information on your qualifications in…,0,7,None
Tue Dec 18 04:38:35 +0000 2018,"RT @IIITDelhi: Congratulations! authors Yaman @the_dhumketu, @RatnRajiv, and team @midasIIITD for winning the best poster runner-up at 20th…",0,3,None
Mon Dec 17 16:57:00 +0000 2018,"Best wishes to @midasIIITD students @_himanshu0113, @Hitkul_, and Shivangi on starting their research internship at National Institute of Informatics (NII), Tokyo, Japan. They will be working with our collaborators Prof Yu and Prof Satoh for six months. 

#internship #tokyo #nii https://t.co/JwWA8D9uHH",14,4,2
Mon Dec 17 15:05:44 +0000 2018,"RT @MIT: Computer model could improve human-machine interaction, provide insight into how children learn language. https://t.co/ToQo6GTMcG…",0,20,None
